Country Name,Iphone Local Price
Australia,1629
Austria,1149
Belgium,1159
Brazil,7299
Canada,1379
China,8699
Czech Republic,29990
Denmark,8899
Finland,1179
France,1156
Germany,1149
Hungary,399990
Ireland,1179
Italy,1189
Japan,112800
Luxembourg,1121
Malaysia,4999
Mexico,24499
Netherlands,1159
New Zealand,1899
Norway,11490
Philippines,67990
Poland,4979
Portugal,1179
Russian Federation,87990
Singapore,1649
Spain,1159
Sweden,12795
Switzerland,1199
Thailand,39900
Turkey,9899
United Arab Emirates,4229
United Kingdom,999
United States,999
