Country Name,Country Code,Billy Bookcase
Australia,AUS,50
Austria,AUT,24.99
Belgium,BEL,29.99
Bulgaria,BGR,64.89
Canada,CAN,40
China,CHN,299
Cyprus,CYP,32.98
Czech Republic,CZE,599
Denmark,DNK,299
Egypt,EGY,101.55
Finland,FIN,19
France,FRA,19
Germany,DEU,29
Greece,GRC,31.98
Hong Kong Special Administrative Region of China,HKG,229
Hungary,HUN,8990
Iceland,ISL,4100
India,IND,3050
Ireland,IRL,19
Israel,ISR,360
Italy,ITA,19.95
Japan,JPN,2999
Jordan,JOR,39
Kuwait,KWT,17
Latvia,LVA,35.28
Lithuania,LTU,39
Macao Special Administrative Region of China,MAC,229
Malaysia,MYS,99
Morocco,MAR,449
Netherlands,NLD,34.95
Norway,NOR,245
Poland,POL,99.99
Portugal,PRT,35
Republic of Korea,KOR,"29,900"
Romania,ROU,89.9
Russia,RUS,2990
Saudi Arabia,SAU,185
Singapore,SGP,59
Slovakia,SVK,25
Spain,ESP,20
Sweden,SWE,299
Switzerland,CHE,59.95
Thailand,THA,1490
Turkey,TUR,163
United Arab Emirates,ARE,195
United Kingdom,GBR,25
United States,USA,49
